INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('242565116', 'Thurston', 'Tumwater', 'WA', '98512', '2019', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '220', '0', '22', 'PUGET SOUND ENERGY INC', '53067010910', '-122.9131017', '47.0135926')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('103095842', 'Snohomish', 'Bothell', 'WA', '98021', '2020', 'TESLA', 'MODEL Y', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '291', '0', '1', 'PUGET SOUND ENERGY INC', '53061051937', '-122.179458', '47.802589')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('3267771', 'King', 'Seattle', 'WA', '98146', '2019', 'KIA', 'NIRO', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '26', '0', '34', 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)', '53033012000', '-122.355145', '47.505655')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('2039698', 'Kitsap', 'Hansville', 'WA', '98340', '2017', 'BMW', 'I3', 'Plug-in Hybrid Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '97', '0', '23', 'PUGET SOUND ENERGY INC', '53035090101', '-122.57781', '47.903975')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('326547609', 'Snohomish', 'Edmonds', 'WA', '98020', '2015', 'FIAT', '500', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '87', '0', '21', 'PUGET SOUND ENERGY INC', '53061050502', '-122.37507', '47.80807')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('337501195', 'Snohomish', 'Woodway', 'WA', '98020', '2018', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '215', '0', '32', 'PUGET SOUND ENERGY INC', '53061050600', '-122.37507', '47.80807')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('202801616', 'Yakima', 'Naches', 'WA', '98937', '2016', 'FIAT', '500', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '84', '0', '14', 'PACIFICORP', '53077003002', '-120.69918', '46.7305')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('475574935', 'Chelan', 'Cashmere', 'WA', '98815', '2018', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '151', '0', '12', 'PUD NO 1 OF CHELAN COUNTY', '53007960501', '-120.4687', '47.5173233')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('109167621', 'Snohomish', 'Bothell', 'WA', '98012', '2020', 'TESLA', 'MODEL Y', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '291', '0', '1', 'PUGET SOUND ENERGY INC', '53061052009', '-122.1873', '47.820245')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('111617271', 'Thurston', 'Tumwater', 'WA', '98501', '2018', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '215', '0', '35', 'PUGET SOUND ENERGY INC', '53067011720', '-122.89692', '47.043535')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('170340453', 'Snohomish', 'Lake Stevens', 'WA', '98258', '2021', 'AUDI', 'Q5 E', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '18', '0', '44', 'PUGET SOUND ENERGY INC', '53061052607', '-122.112065', '48.004345')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('180396618', 'Kitsap', 'Port Orchard', 'WA', '98366', '2016', 'FORD', 'C-MAX', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '19', '0', '26', 'PUGET SOUND ENERGY INC', '53035092600', '-122.639265', '47.5373')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('476016901', 'Snohomish', 'Monroe', 'WA', '98272', '2016', 'TESLA', 'MODEL X', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '200', '0', '39', 'PUGET SOUND ENERGY INC', '53061052207', '-121.972215', '47.85674')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('245794965', 'Kitsap', 'Port Orchard', 'WA', '98366', '2013', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '75', '0', '26', 'PUGET SOUND ENERGY INC', '53035092300', '-122.639265', '47.5373')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('8593350', 'Kitsap', 'Bremerton', 'WA', '98310', '2012', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '73', '0', '23', 'PUGET SOUND ENERGY INC', '53035080400', '-122.611365', '47.575195')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('226994967', 'Kitsap', 'Poulsbo', 'WA', '98370', '2012', 'CHEVROLET', 'VOLT', 'Plug-in Hybrid Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '35', '0', '23', 'PUGET SOUND ENERGY INC', '53035090502', '-122.64177', '47.737525')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('220323715', 'Kitsap', 'Kingston', 'WA', '98346', '2023', 'BMW', 'X5', 'Plug-in Hybrid Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '30', '0', '23', 'PUGET SOUND ENERGY INC', '53035090102', '-122.50156', '47.8019')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('349945921', 'Snohomish', 'Bothell', 'WA', '98012', '2017', 'FORD', 'FUSION', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '21', '0', '21', 'PUGET SOUND ENERGY INC', '53061051928', '-122.1873', '47.820245')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('102908466', 'Kitsap', 'Port Orchard', 'WA', '98367', '2019', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '150', '0', '35', 'PUGET SOUND ENERGY INC', '53035092101', '-122.6851642', '47.506453')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('1909491', 'Snohomish', 'Lynnwood', 'WA', '98087', '2019', 'KIA', 'NIRO', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '239', '0', '21', 'PUGET SOUND ENERGY INC', '53061041703', '-122.2559465', '47.8656788')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('132793202', 'Snohomish', 'Edmonds', 'WA', '98020', '2016', 'BMW', 'X5', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '14', '0', '21', 'PUGET SOUND ENERGY INC', '53061050502', '-122.37507', '47.80807')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('4759450', 'Snohomish', 'Marysville', 'WA', '98270', '2020', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '266', '0', '38', 'PUGET SOUND ENERGY INC', '53061052903', '-122.17673', '48.05542')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('205301197', 'Snohomish', 'Snohomish', 'WA', '98296', '2014', 'FORD', 'FUSION', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '19', '0', '1', 'PUGET SOUND ENERGY INC', '53061052107', '-122.15134', '47.8851158')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('167261251', 'Whitman', 'Pullman', 'WA', '99163', '2021', 'HYUNDAI', 'IONIQ', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '29', '0', '9', 'AVISTA CORP', '53075000601', '-117.17912', '46.730885')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('261784841', 'Island', 'Greenbank', 'WA', '98253', '2012', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '73', '0', '10', 'PUGET SOUND ENERGY INC', '53029971301', '-122.6071588', '48.0754917')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('195352475', 'Snohomish', 'Bothell', 'WA', '98021', '2022', 'BMW', 'X5', 'Plug-in Hybrid Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '30', '0', '1', 'PUGET SOUND ENERGY INC', '53061051938', '-122.179458', '47.802589')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('114268717', 'Thurston', 'Olympia', 'WA', '98513', '2020', 'TESLA', 'MODEL S', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '330', '0', '2', 'PUGET SOUND ENERGY INC', '53067011624', '-122.817545', '46.98876')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('194643396', 'Thurston', 'Olympia', 'WA', '98516', '2019', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '220', '0', '2', 'PUGET SOUND ENERGY INC', '53067012330', '-122.7510253', '47.08149')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('349879071', 'Island', 'Coupeville', 'WA', '98239', '2015', 'BMW', 'I3', 'Plug-in Hybrid Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '72', '0', '10', 'PUGET SOUND ENERGY INC', '53029971100', '-122.681275', '48.21784')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('478289241', 'Snohomish', 'Lake Stevens', 'WA', '98258', '2019', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '150', '0', '44', 'PUGET SOUND ENERGY INC', '53061052505', '-122.112065', '48.004345')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('476748793', 'Snohomish', 'Lake Stevens', 'WA', '98258', '2019', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '220', '0', '44', 'PUGET SOUND ENERGY INC', '53061052604', '-122.112065', '48.004345')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('176066026', 'Kitsap', 'Bremerton', 'WA', '98311', '2014', 'BMW', 'I3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '81', '0', '23', 'PUGET SOUND ENERGY INC', '53035091500', '-122.6468815', '47.6344364')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('212905045', 'Thurston', 'Olympia', 'WA', '98502', '2013', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '75', '0', '22', 'PUGET SOUND ENERGY INC', '53067010520', '-122.92145', '47.045935')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('2588225', 'Kitsap', 'Port Orchard', 'WA', '98367', '2019', 'BMW', 'I3', 'Plug-in Hybrid Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '126', '0', '26', 'PUGET SOUND ENERGY INC', '53035092101', '-122.6851642', '47.506453')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('117777474', 'Yakima', 'Yakima', 'WA', '98908', '2016', 'BMW', 'X5', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '14', '0', '14', 'PACIFICORP', '53077002900', '-120.6027202', '46.5965625')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('243725709', 'King', 'Renton', 'WA', '98056', '2017', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '107', '0', '11', 'PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)', '53033025401', '-122.180505', '47.500055')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('103812901', 'Thurston', 'Lacey', 'WA', '98516', '2016', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '84', '0', '22', 'PUGET SOUND ENERGY INC', '53067012221', '-122.7510253', '47.08149')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('138237109', 'Thurston', 'Rochester', 'WA', '98579', '2020', 'KIA', 'NIRO', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '239', '0', '20', 'PUGET SOUND ENERGY INC', '53067012730', '-123.09575', '46.82114')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('137151381', 'Snohomish', 'Bothell', 'WA', '98021', '2017', 'BMW', 'X5', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '14', '0', '1', 'PUGET SOUND ENERGY INC', '53061051926', '-122.179458', '47.802589')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('144921822', 'Skagit', 'Anacortes', 'WA', '98221', '2021', 'BMW', 'X3', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '17', '0', '40', 'PUGET SOUND ENERGY INC', '53057940600', '-122.615305', '48.501275')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('237960649', 'Kitsap', 'Bainbridge Island', 'WA', '98110', '2017', 'VOLVO', 'XC90', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '14', '0', '23', 'PUGET SOUND ENERGY INC', '53035090902', '-122.5235781', '47.6293323')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('6069451', 'King', 'Redmond', 'WA', '98052', '2020', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '322', '0', '48', 'PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)', '53033032330', '-122.12302', '47.67668')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('475018764', 'Pend Oreille', 'Elk', 'WA', '99009', '2018', 'TESLA', 'MODEL X', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '238', '0', '7', 'PUD NO 1 OF PEND OREILLE COUNTY', '53051970500', '-117.34965', '48.017545')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('228476314', 'Snohomish', 'Everett', 'WA', '98204', '2018', 'TESLA', 'MODEL S', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '249', '0', '21', 'PUGET SOUND ENERGY INC', '53061041901', '-122.241285', '47.91088')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('228248450', 'Snohomish', 'Monroe', 'WA', '98272', '2020', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '308', '0', '39', 'PUGET SOUND ENERGY INC', '53061052203', '-121.972215', '47.85674')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('264487065', 'Pierce', 'Dupont', 'WA', '98327', '2014', 'FORD', 'FOCUS', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '76', '0', '28', 'PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)', '53053072802', '-122.643815', '47.097455')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('181532130', 'King', 'Seatac', 'WA', '98188', '2012', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '73', '0', '33', 'PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)', '53033028300', '-122.29179', '47.43473')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('339646149', 'Kitsap', 'Port Orchard', 'WA', '98366', '2016', 'FORD', 'FUSION', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '19', '0', '26', 'PUGET SOUND ENERGY INC', '53035092400', '-122.639265', '47.5373')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('166580291', 'Kitsap', 'Poulsbo', 'WA', '98370', '2015', 'CHEVROLET', 'VOLT', 'Plug-in Hybrid Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '38', '0', '23', 'PUGET SOUND ENERGY INC', '53035091100', '-122.64177', '47.737525')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('3755496', 'King', 'Vashon', 'WA', '98070', '2016', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '84', '0', '34', 'PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)', '53033027701', '-122.4586752', '47.4484687')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('215241162', 'Kitsap', 'Kingston', 'WA', '98346', '2017', 'BMW', 'I3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '81', '0', '23', 'PUGET SOUND ENERGY INC', '53035940000', '-122.50156', '47.8019')
